index,name,price,promotion_price,retailer,image_url
12,Pepsi MAX Cola Flavoured Sugar Free Soft Drink 2L,R18.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Pepsi_MAX_Cola_Flavoured_Sugar_Free_Soft_Drink_2L.jpg?
13,OMO Auto Washing Powder with Comfort Freshness 2kg,R109.99,R89.99,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_OMO_Auto_Washing_Powder_with_Comfort_Freshness_2kg.jpg?
14,SASKO Premium Sliced White Bread 700g,R19.99,R15.99,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_SASKO_Premium_Sliced_White_Bread_700g.jpg?
15,Fatti's & Moni's Spaghetti Pasta 500g,R19.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Fatti_s___Moni_s_Spaghetti_Pasta_500g.jpg?
16,ALL GOLD Tomato Sauce Bottle 700ml,R42.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_ALL_GOLD_Tomato_Sauce_Bottle_700ml.jpg?
17,Crosse And Blackwell Tangy Mayonnaise 750g,R49.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Crosse_And_Blackwell_Tangy_Mayonnaise_750g.jpg?
18,Lay's Salted Potato Chips 120g,R23.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Lay_s_Salted_Potato_Chips_120g.jpg?
19,Danone Ultra Mel Custard Flavoured Dessert 1kg,R34.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Danone_Ultra_Mel_Custard_Flavoured_Dessert_1kg.jpg?
20,Pepsi MAX Cola Flavoured Sugar Free Soft Drink 2L,R18.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Pepsi_MAX_Cola_Flavoured_Sugar_Free_Soft_Drink_2L.jpg?
21,SASKO Premium Sliced White Bread 700g,R19.99,R15.99,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_SASKO_Premium_Sliced_White_Bread_700g.jpg?
22,Lay's Thai Sweet Chilli Flavour Potato Chips 120g,R23.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Lay_s_Thai_Sweet_Chilli_Flavour_Potato_Chips_120g.jpg?
23,Fatti's & Moni's Spaghetti Pasta 500g,R19.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Fatti_s___Moni_s_Spaghetti_Pasta_500g.jpg?
24,ALL GOLD Tomato Sauce Bottle 700ml,R42.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_ALL_GOLD_Tomato_Sauce_Bottle_700ml.jpg?
25,Crosse And Blackwell Tangy Mayonnaise 750g,R49.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Crosse_And_Blackwell_Tangy_Mayonnaise_750g.jpg?
