index,name,price,promotion_price,retailer,image_url
4131,PnP Long Life Orange Juice Prisma Pack 1L,R29.99,Buy Any 2 For R49.00,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h86/h09/11012096950302/silo-product-image-v2-11Nov2022-180126-6009219011368-Straight_on-72054-7355_300Wx300H
4132,Valpre Still Spring Water 1.5l x 12,R232.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/root/hdc/h9f/9172974075934/211008_CS_300Wx300H
4133,Bakers Romany Creams Mint 200g,R39.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hf0/hfb/11122245009438/silo-product-image-v2-16Mar2023-181954-6001056004619-Straight_on-113136-4493_300Wx300H
4134,Rupert & Rothschild Classique 750ml,R235.00,"Buy Any 6, Get Cheapest Free (Smart Price)",Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h91/h57/10989584711710/silo-product-image-v2-21Oct2022-180250-6009802282168-Straight_on-66920-1556_300Wx300H
4135,Good Stuff Nature Nurture Handwash 500ml,R62.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hc2/hcf/11121038032926/silo-product-image-v2-16Mar2023-181236-6009803296119-Straight_on-116645-2574_300Wx300H
4136,Knorr Tasty Minestrone Soup 2in1 Stew Mix with Robertsons Mixed Herbs 50g,R7.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h4e/h83/10869963423774/silo-product-image-v2-08Jun2022-180502-6001087308014-Straight_on-41584-41023_300Wx300H
4137,Glade Elegant Amber & Oud Air Freshner 300ml,R39.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h81/h69/11209686351902/silo-product-image-v2-24Jun2023-180159-6001298003203-Straight_on-157063-3119_300Wx300H
4138,Addis Bucket Recycled 9L,R29.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hd7/hfc/10899795738654/silo-product-image-v2-13Jul2022-180126-6001246020160-Straight_on-49413-7102_300Wx300H
4139,Xbox 1TB Series X,"R13,999.00",No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h20/h27/11005671866398/silo-product-image-v2-04Nov2022-180127-889842640830-Straight_on-70468-4465_300Wx300H
4140,Maynards Wine Gums Round 400g,R69.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h36/hf0/10920573599774/silo-product-image-v2-11Aug2022-180201-6001120621940-Straight_on-50966-1433_300Wx300H
4141,PnP Let's Cook Thyme 20g,R14.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h5c/h31/11304798978078/silo-product-image-v2-15Nov2023-180134-6001007302344-Straight_on-189948-10_300Wx300H
4142,PnP Rooibos Tea Bags 80 Pack,R39.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h05/h27/10381774225438/silo-product-image-v2-29Jul2021-180152-6001007091248-front-1507459-7607_300Wx300H
